Hotel Name,Place,description,Condition,Rating,Total Reviews
Brij Nest Suites,Jaipur,"Located in Jaipur, 4.8 km from Govind Dev Ji Temple, Brij Nest Suites provides accommodation with a fitness centre, free private parking, a garden and a restaurant.",Very good,8.2,40 reviews
The Vijayran Palace by Royal Quest Resorts,Jaipur,"Set in Jaipur, 14 km from Amber Fort, The Vijayran Palace by Royal Quest Resorts offers accommodation with an outdoor swimming pool, free private parking, a fitness centre and a garden.",Good,7.3,14 reviews
Om Trance Hostel,"Tonk Road, Jaipur","Featuring a shared lounge, Om Trance Hostel is set in Jaipur in the Rajasthan region, 6.7 km from Govind Dev Ji Temple and 9.1 km from Birla Mandir Temple, Jaipur.",Good,7.7,61 reviews
Collection O Hotel Tip Top,"Vaishali Nagar, Jaipur","9 km from Govind Dev Ji Temple, Collection O 3971 Hotel Tip Top is situated in Jaipur and features air-conditioned rooms with free WiFi.",Review score,6.7,10 reviews
Hotel Life Inn,"Bani Park, Jaipur","Situated in Jaipur, 4 km from City Palace, Hotel Life Inn features accommodation with a shared lounge, free private parking, a terrace and a restaurant.",Very good,8,11 reviews
Hotel Suncity Plaza,Jaipur,"Situated in Jaipur, 14 km from Govind Dev Ji Temple, Hotel Suncity Plaza features accommodation with a fitness centre, free private parking, a shared lounge and a restaurant.",Good,7.2,17 reviews
Flagship Ekta Palace,Jaipur,Travel Sustainable property,Review score,1,3 reviews
JSR Hostel Pratap Nagar,Jaipur,"Located in Jaipur, 11 km from Govind Dev Ji Temple, JSR Hostel Pratap Nagar provides accommodation with free WiFi and free private parking.",,,
MOONLIGHT HOMESTAY & HOSTEL,"Civil Lines, Jaipur","Situated in Jaipur, MOONLIGHT HOMESTAY & HOSTEL features free WiFi, and guests can enjoy a shared lounge, a terrace and a restaurant.",Very good,8.2,82 reviews
Beena Homestay,"Ajmer Road, Jaipur",Travel Sustainable property,Exceptional,9.7,12 reviews
Hotel Sumaditya,Jaipur,"Situated in Jaipur, 5.7 km from Jaipur Railway Station, Hotel Sumaditya features accommodation with a shared lounge, free private parking, a terrace and a restaurant.",Fabulous,8.7,67 reviews
Om Niwas Suite Hotel,"Bani Park, Jaipur",Travel Sustainable property,Fabulous,8.6,63 reviews
JSR Boys Hostel,Jaipur,"Featuring a shared lounge, JSR Boys Hostel is located in Jaipur in the Rajasthan region, 4.8 km from Birla Mandir Temple, Jaipur and 6.5 km from Govind Dev Ji Temple.",,,
G B&B Villa,"Vaishali Nagar, Jaipur","G B&B Villa, a property with a garden and a terrace, is set in Jaipur, 8.5 km from Govind Dev Ji Temple, 8.6 km from Birla Mandir Temple, Jaipur, as well as 9.2 km from City Palace.",Very good,8,2 reviews
Nadya Homestay For Female & family,Jaipur,Travel Sustainable property,Exceptional,9.5,40 reviews
Treebo Trend Utsav Niwas Vidyadhar Nagar,Jaipur,"Located within 4 km from a bus stand and railway station, Treebo Trend Utsav Niwas Vidyadhar Nagar offers a 24-hour front desk and business centre. All rooms come with a flat-screen satellite TV.",Good,7.7,23 reviews
Flagship Star Leaf,Jaipur,"Featuring 3-star accommodation, Flagship Star Leaf is located in Jaipur, 4.9 km from Govind Dev Ji Temple and 4.9 km from Birla Mandir Temple, Jaipur.",,,
Abode Homestay,"Vaishali Nagar, Jaipur",Travel Sustainable property,Review score,6.8,6 reviews
Atulya chordias,Jaipur,"Atulya chordias, a property with a terrace, is set in Jaipur, 1.3 km from Jaipur Railway Station, 4.7 km from Birla Mandir Temple, Jaipur, as well as 4.9 km from City Palace.",Review score,5,1 review
FabHotel Shiv Rachna,Jaipur,Travel Sustainable property,Review score,5.8,21 reviews
Hotel Sagun,Jaipur,"Featuring 2-star accommodation, Hotel Sagun is set in Jaipur, less than 1 km from Jaipur Railway Station and 4.9 km from City Palace.",Review score,6.1,34 reviews
ROYAL OCEAN RESORT,Jaipur,"Situated in Jaipur, 21 km from Amber Fort, ROYAL OCEAN RESORT features accommodation with an outdoor swimming pool, free private parking, a garden and a terrace.",Exceptional,10,1 review
Flagship Hotel Grand Decor,Jaipur,Travel Sustainable property,Good,7.8,6 reviews
Hotel LIV INN,Jaipur,Travel Sustainable property,Review score,6.2,17 reviews
Tulsian Guest House & Apartments,"Shyam Nagar, Jaipur","Tulsian Guest House & Apartments, a property with a terrace, is situated in Jaipur, 4.2 km from Jaipur Railway Station, 5.3 km from Govind Dev Ji Temple, as well as 6.1 km from Birla Mandir Temple,...",Superb,9.1,10 reviews
"BluO 2BHK Jaipur - Balcony, Terrace Garden, Parking, Lift","Vaishali Nagar, Jaipur",Travel Sustainable property,Exceptional,10,1 review
JD Hotel Four Boutique,"Shyam Nagar, Jaipur","Boasting a bar, JD Hotel Four Boutique is situated in Jaipur in the Rajasthan region, 4 km from Jaipur Railway Station and 5.2 km from Govind Dev Ji Temple.",,,
Hotel Baramasi by Jai Club Prime,"C Scheme, Jaipur",Travel Sustainable property,Review score,5.7,16 reviews
Hotel Braj Haveli,"Malviya Nagar, Jaipur",Travel Sustainable property,Very good,8.3,17 reviews
Sohana's Homestays - Work Friendly Apartment near Jaipur International Airport,Jaipur,Travel Sustainable property,Fabulous,8.8,17 reviews
"BluO 1BHK Jaipur - Terrace Garden, Lift, Parking","Vaishali Nagar, Jaipur",Travel Sustainable property,Exceptional,10,1 review
Hotel Apoorva DLX,"M.I. Road, Jaipur","Hotel Apoorva DLX is situated right in the heart of Jaipur, just 3 km from City Palace and 3 km from Jantar Mantar, Jaipur. This property offers access to a balcony and free private parking.",Review score,5.5,2 reviews
FabHotel Jaipur Emerlad,"M.I. Road, Jaipur",Travel Sustainable property,Review score,6.1,26 reviews
Hotel Sajan,"Sansar Chandra Road, Jaipur","Set in Jaipur, within 1.8 km of Jaipur Railway Station and 2.8 km of City Palace, Hotel Sajan offers accommodation with a garden and free WiFi throughout the property as well as free private parking...",,,
IBIZA FARM BY TRV A 3BHK MODERN VILLA WITH POOL BAR DJ ROOM ETc,Jaipur,Travel Sustainable property,Exceptional,10,1 review
OYO 79437 Hotel S R,Jaipur,"Featuring 3-star accommodation, OYO 79437 Hotel S R is located in Jaipur, 8.6 km from Govind Dev Ji Temple and 13 km from Birla Mandir Temple, Jaipur.",Review score,4.3,6 reviews
"A Dog's Story, Jaipur","Amer, Jaipur","Located in Jaipur, 7.5 km from Amber Fort and 7.7 km from Seesh Mahal, A Dog's Story, Jaipur provides accommodation with free WiFi, air conditioning and access to a garden with a terrace.",Superb,9.3,11 reviews
Collection O Hotel Ira,Jaipur,Travel Sustainable property,Review score,5.2,4 reviews
Hotel Grande Residency,"Sansar Chandra Road, Jaipur","Located in Jaipur, 550 metres from Sindhi Camp, Hotel Grande Residency features free WiFi access and free private parking. Guests can enjoy the on-site restaurant.",Good,7.1,10 reviews
HOTEL IRA Mansarovar Jaipur,Jaipur,"Set in Jaipur, within 6.5 km of Govind Dev Ji Temple and 11 km of Birla Mandir Temple, Jaipur, HOTEL IRA Mansarovar Jaipur offers accommodation with a terrace and free WiFi throughout the property as...",Exceptional,9.7,9 reviews
"The Rustic Villa, a stay with luxuries amenities and exotic nature",Jaipur,Travel Sustainable property,Exceptional,9.8,5 reviews
The Grand Anukampa Habitat,"Shyam Nagar, Jaipur","Located in Jaipur, 3.7 km from Jaipur Railway Station and 5.5 km from Govind Dev Ji Temple, The Grand Anukampa Habitat provides accommodation with amenities such as free WiFi and a flat-screen TV.",Superb,9,1 review
Project X,Jaipur,"Featuring a garden, a shared lounge, and a terrace, Project X offers accommodation in Jaipur with free WiFi and garden views. This property offers access to a balcony and free private parking.",,,
Treebo Trend Airport View,Jaipur,"Featuring 3-star accommodation, Treebo Trend Airport View is set in Jaipur, 10 km from Govind Dev Ji Temple and 13 km from Birla Mandir Temple, Jaipur.",Review score,5.2,47 reviews
The Jai Bagh Palace,Jaipur,"Situated in Jaipur, 15 km from Amber Fort, The Jai Bagh Palace features accommodation with an outdoor swimming pool, free private parking, a fitness centre and a garden.",Review score,6.7,22 reviews
Flagship Utsav Hotel,"Vaishali Nagar, Jaipur",Travel Sustainable property,,,
"Yahvi, Jaipur",Jaipur,"Within 13 km of Birla Mandir Temple, Jaipur and 13 km of Govind Dev Ji Temple, Yahvi, Jaipur offers free WiFi and a terrace.",,,
Hotel Moon Light Palace,"Civil Lines, Jaipur","Offering eco-friendly accommodation, each room at Hotel Moon Light Palace offers air-conditioned rooms with free Wi-Fi.",Very good,8,80 reviews
"The Wall Street Beacon, Jaipur","M.I. Road, Jaipur",Travel Sustainable property,Good,7.8,28 reviews
FabHotel Shiv Rachna,Jaipur,Travel Sustainable property,Review score,5.8,21 reviews
RUDRA VILAS - A Royal Heritage Hotel,Jaipur,"Situated in Jaipur, 6.7 km from Govind Dev Ji Temple, RUDRA VILAS - A Royal Heritage Hotel features accommodation with a garden, free private parking, a shared lounge and a terrace.",Good,7.8,9 reviews
Crimson Park Heritage Hotel,"Amer, Jaipur",Travel Sustainable property,Review score,6.7,14 reviews
Hotel Thikana Palace,Jaipur,"Set in Jaipur, less than 1 km from Jaipur Railway Station, Hotel Thikana Palace offers accommodation with a shared lounge, free private parking, a terrace and a restaurant.",Good,7.4,7 reviews
FabHotel Season Park 2,"Malviya Nagar, Jaipur",Travel Sustainable property,Review score,6,12 reviews
SPOT ON Hotel Karni Kripa,Jaipur,SPOT ON Hotel Karni Kripa offers free WiFi throughout the property and rooms with air conditioning in Jaipur.,Review score,6,9 reviews
35 Sahakar Suites-A Luxury Aparthotel in Jaipur,Jaipur,Travel Sustainable property,Very good,8.2,6 reviews
The Penthouse,Jaipur,"Located in Jaipur, 3.6 km from Jantar Mantar, Jaipur and 3.9 km from Hawa Mahal - Palace of Winds, The Penthouse offers a terrace and air conditioning.",,,
OYO Hotel Alexa,Jaipur,"Featuring 3-star accommodation, OYO Hotel Alexa is set in Jaipur, 10 km from Jaipur Railway Station and 10 km from Govind Dev Ji Temple.",,,
Hotel Bhaskar,"Tonk Road, Jaipur",Travel Sustainable property,Very good,8.1,7 reviews
Pacific inn Jaipur ( Kukas ),"Amer, Jaipur",Travel Sustainable property,Review score,4,6 reviews
Hotel Aarjee Crescent Jaipur,Jaipur,Travel Sustainable property,,,
Ali Baba Hostel,Jaipur,"Boasting a garden, terrace and views of city, Ali Baba Hostel is situated in Jaipur, 1.5 km from Hawa Mahal - Palace of Winds.",,,
Treebo Trend Utsav Niwas Vidyadhar Nagar,Jaipur,"Located within 4 km from a bus stand and railway station, Treebo Trend Utsav Niwas Vidyadhar Nagar offers a 24-hour front desk and business centre. All rooms come with a flat-screen satellite TV.",Good,7.7,23 reviews
OYO Flagship 80904 The Bellefin,"Vaishali Nagar, Jaipur","Offering air-conditioned rooms in the Vaishali Nagar district of Jaipur, OYO Flagship 80904 The Bellefin is 6.6 km from Jaipur Railway Station.",,,
Hotel Bony Sunrise,"Raja Park, Jaipur","Featuring 3-star accommodation, Hotel Bony Sunrise is located in Jaipur, 1.7 km from Birla Mandir Temple, Jaipur and 4.3 km from Hawa Mahal - Palace of Winds.",Good,7.7,34 reviews
JSR Hostel Pratap Nagar,Jaipur,"Located in Jaipur, 11 km from Govind Dev Ji Temple, JSR Hostel Pratap Nagar provides accommodation with free WiFi and free private parking.",,,
MOONLIGHT HOMESTAY & HOSTEL,"Civil Lines, Jaipur","Situated in Jaipur, MOONLIGHT HOMESTAY & HOSTEL features free WiFi, and guests can enjoy a shared lounge, a terrace and a restaurant.",Very good,8.2,82 reviews
Beena Homestay,"Ajmer Road, Jaipur",Travel Sustainable property,Exceptional,9.7,12 reviews
Hotel Radoli House - A Heritage Hotel,"Bani Park, Jaipur","Featuring 3-star accommodation, Hotel Radoli House - A Heritage Hotel is located in Jaipur, 4.1 km from Jantar Mantar, Jaipur and 4.4 km from Hawa Mahal - Palace of Winds.",Very good,8.3,3 reviews
Treebo Trend Woodsvilla Suites Bapu Nagar,Jaipur,Treebo Woodsvilla Suites in Jaipur is situated in Bapu Nagar. These serviced apartments is at a close proximity to the SMS Stadium and Birla Mandir.,Review score,6.9,64 reviews
Hotel Vasudha Palace,Jaipur,Travel Sustainable property,Review score,6.8,12 reviews
Tatvam Vas,Jaipur,Travel Sustainable property,Review score,6.7,17 reviews
Hotel The Chit Chat Palace,Jaipur,"Located less than 1 km from Jaipur Railway Station, Hotel The Chit Chat Palace offers 2-star accommodation in Jaipur and features a shared lounge, a terrace and a restaurant.",Very good,8.1,126 reviews
Hotel Aarjee Crescent Jaipur,Jaipur,Travel Sustainable property,,,
Jaipur Sundeck,"Shyam Nagar, Jaipur",Travel Sustainable property,Superb,9.2,24 reviews
Padmalayabnb,"Shyam Nagar, Jaipur","Padmalayabnb, a property with a garden and a terrace, is set in Jaipur, 5.3 km from Govind Dev Ji Temple, 6 km from Birla Mandir Temple, Jaipur, as well as 8.1 km from City Palace.",,,
Collection O Hotel Greenleaf,Jaipur,Travel Sustainable property,Review score,4.6,5 reviews
Beena Homestay,"Ajmer Road, Jaipur",Travel Sustainable property,Exceptional,9.7,12 reviews
Kalyan Heritage,Jaipur,Travel Sustainable property,Good,7.6,76 reviews
OYO Townhouse 504 by My Stay,Jaipur,Travel Sustainable property,Review score,4,18 reviews
Jaipur 1727 Homestay,"Civil Lines, Jaipur",Travel Sustainable property,Fabulous,8.8,40 reviews
Hotel Sarvmangla Garden,Jaipur,"Situated in Jaipur, 11 km from Hawa Mahal - Palace of Winds, Hotel Sarvmangla Garden features accommodation with a garden, free private parking, a restaurant and a bar.",Review score,5.2,13 reviews
Hotel Savi Regency,Jaipur,Travel Sustainable property,Review score,6.2,5 reviews
Jasoda Heritage Hotel by Keshav Global,Jaipur,"Featuring 3-star accommodation, Jasoda Heritage Hotel by Keshav Global is situated in Jaipur, less than 1 km from Jantar Mantar, Jaipur and a 11-minute walk from City Palace.",Good,7.3,53 reviews
Hotel Reeve Inn,"Bani Park, Jaipur","Featuring 3-star accommodation, Hotel Reeve Inn is located in Jaipur, less than 1 km from Jaipur Railway Station and 3.8 km from City Palace.",Good,7.4,44 reviews
Shakuntlam Farms,Jaipur,"Situated in Jaipur, 8.5 km from Govind Dev Ji Temple, 13 km from Birla Mandir Temple, Jaipur and 14 km from Jaipur Railway Station, Shakuntlam Farms features accommodation with a balcony and free...",,,
Hotel Royal Akshayam,Jaipur,"Set in Jaipur in the Rajasthan region, Hotel Royal Akshayam offers accommodation with free private parking.",Good,7.5,2 reviews
Clarks Amer,Jaipur,"Located on JLN Marg, Hotel Clarks Amer - Preferred Hotels & Resorts is 2.5 KM from the Jaipur International Airport and approximately 10 KM from major city attractions such as City Palace, Birla...",Review score,5.9,269 reviews
OYO Blooming Beds,Jaipur,"Featuring 3-star accommodation, OYO Blooming Beds is located in Jaipur, 4.5 km from Govind Dev Ji Temple and 8.8 km from Birla Mandir Temple, Jaipur.",Review score,6.5,6 reviews
Indana Palace Jaipur,"Amer, Jaipur","Indana Palace Jaipur offers accommodation in Jaipur. The hotel has an outdoor pool and spa centre, and guests can enjoy a meal at the restaurant.",Good,7.5,42 reviews
Flagship Hotel Royal Blue,Jaipur,Travel Sustainable property,Review score,4.2,4 reviews
OYO Flagship 80759 Swastik Hotel Restaurant,"Khatipura, Jaipur","OYO Flagship 80759 Swastik Hotel Restaurant features air-conditioned rooms with TV in the Adarsh Nagar district of Jaipur. This 3-star hotel offers room service, a 24-hour front desk and free WiFi.",,,
Capital O Shiva's Regency,Jaipur,"Set in Jaipur, Capital O Shiva's Regency offers 3-star accommodation with a restaurant and a bar.",Review score,2.9,17 reviews
Chandramouli hotel,Jaipur,"Situated in Jaipur, Chandramouli hotel offers 2-star accommodation with a garden and a terrace. This 2-star hotel offers room service.",Review score,6.6,61 reviews
FabExpress Travelers Lodge,Jaipur,Travel Sustainable property,Review score,5.8,28 reviews
OYO Hotel Prayag,"Adarsh Nagar, Jaipur","Situated in Jaipur, 2.5 km from Hawa Mahal - Palace of Winds, OYO Hotel Prayag features air-conditioned accommodation and a shared lounge.",,,
Nadya Homestay For Female & family,Jaipur,Travel Sustainable property,Exceptional,9.5,40 reviews
OYO Ekansh Palace,"Vaishali Nagar, Jaipur",OYO Ekansh Palace features air-conditioned rooms with TV in the Vaishali Nagar district of Jaipur. This 3-star hotel offers a shared kitchen and a shared lounge.,Review score,5.4,8 reviews
OYO Hotel Star Board,Jaipur,Travel Sustainable property,Review score,5.9,22 reviews
SOHANAs Homestays- 2 BHK Apartment with Terrace near Jaipur International Airport,Jaipur,Travel Sustainable property,Superb,9.3,28 reviews
The Heritage Home,Jaipur,"Featuring city views, The Heritage Home offers accommodation with a terrace and a balcony, around 12 km from Birla Mandir Temple, Jaipur.",,,
Hotel Krishna INN,Jaipur,"Set in Jaipur, within 10 km of Govind Dev Ji Temple and 12 km of Birla Mandir Temple, Jaipur, Hotel Krishna INN offers accommodation with a terrace and as well as free private parking for guests who...",,,
Diona by Bth,Jaipur,"Diona by Bth, a property with a terrace and a bar, is situated in Jaipur, 5.5 km from Govind Dev Ji Temple, 5.5 km from Birla Mandir Temple, Jaipur, as well as 7.5 km from City Palace.",,,
3BHK Airport Vista Apartment,Jaipur,Travel Sustainable property,,,
Casa Stays,Jaipur,"Set in Jaipur, 3.7 km from Jaipur Railway Station and 5.5 km from Govind Dev Ji Temple, Casa Stays offers accommodation with free WiFi, air conditioning, a terrace and a bar.",,,
Dev Hotel Mansarover,Jaipur,"Located in Jaipur, Dev Hotel Mansarover features 2-star accommodation with private balconies. Featuring a garden, the 2-star hotel has air-conditioned rooms with a private bathroom.",,,
OYO Flagship 80898 Bombay Hotel,Jaipur,OYO Flagship 80898 Bombay Hotel features free WiFi throughout the property and rooms with air conditioning in Jaipur.,,,
Collection O Hotel Salasar Palace,Jaipur,Travel Sustainable property,Review score,1,3 reviews
OYO Ridam Hotel,Jaipur,"Featuring 3-star accommodation, OYO Ridam Hotel is situated in Jaipur, 11 km from Birla Mandir Temple, Jaipur and 13 km from Govind Dev Ji Temple.",Review score,3.5,2 reviews
Hotel Mansarovar Palace,Jaipur,"Set in Jaipur, 4.9 km from Govind Dev Ji Temple, Hotel Mansarovar Palace offers accommodation with a garden, free private parking, a terrace and a restaurant.",Very good,8.3,3 reviews
MOONLIGHT HOMESTAY & HOSTEL,"Civil Lines, Jaipur","Situated in Jaipur, MOONLIGHT HOMESTAY & HOSTEL features free WiFi, and guests can enjoy a shared lounge, a terrace and a restaurant.",Very good,8.2,82 reviews
Flagship Hotel Aditya Inn,Jaipur,Travel Sustainable property,Review score,3,2 reviews
Rajasthali Resort & Spa,"Amer, Jaipur","Inspired by royal Rajasthani culture, Rajasthali Resort & Spa in Jaipur overlooks the beautiful Aravali Hills. An outdoor pool and pampering spa treatments are available.",Review score,6.9,44 reviews
Collection O Hotel Jaipur Backpackers,Jaipur,Travel Sustainable property,Review score,4.2,8 reviews
The Grand Anukampa Hotel & Studio,"Shyam Nagar, Jaipur",Travel Sustainable property,Good,7.4,5 reviews
Haveli Raghu Niwas - Guest House,Jaipur,"Located in Jaipur, within 12 km of Jaipur Railway Station and 12 km of City Palace, Haveli Raghu Niwas - Guest House provides accommodation with a terrace and free WiFi throughout the property as well...",Very good,8,4 reviews
Rental homes & Apartments . 102,Jaipur,"Rental homes & Apartments. 102 is located in Jaipur, 13 km from Govind Dev Ji Temple, 16 km from City Palace, and 16 km from Jantar Mantar, Jaipur.",,,
OYO Townhouse 504 by My Stay,Jaipur,Travel Sustainable property,Review score,4,18 reviews
Khandaka Mahal by Markotel,Jaipur,Travel Sustainable property,Good,7.4,8 reviews
Gumaan Auberge,"Bani Park, Jaipur",Travel Sustainable property,Very good,8.1,40 reviews
The Grand Anukampa by Eventers Hospitality,"Shyam Nagar, Jaipur","Set just 5.5 km from Govind Dev Ji Temple, The Grand Anukampa by Eventers Hospitality offers accommodation in Jaipur with access to a terrace, a bar, as well as room service.",Very good,8,4 reviews
Shakuntlam Farms,Jaipur,"Situated in Jaipur, 8.5 km from Govind Dev Ji Temple, 13 km from Birla Mandir Temple, Jaipur and 14 km from Jaipur Railway Station, Shakuntlam Farms features accommodation with a balcony and free...",,,
House No. 87,Jaipur,Travel Sustainable property,Good,7.7,15 reviews
Vienna - Luxury 3 Bedroom Villa by Jaipur Farms,Jaipur,Travel Sustainable property,,,
Acorn Villa,Jaipur,"Acorn Villa, a property with a garden, is situated in Jaipur, 7.7 km from Jaipur Railway Station, 10 km from Birla Mandir Temple, Jaipur, as well as 12 km from City Palace.",,,
OYO Townhouse 051 Lal Kothi,Jaipur,Travel Sustainable property,Review score,3.3,55 reviews
"BluO 2BR Jaipur - Lift, Balcony, Parking, Terrace","Vaishali Nagar, Jaipur",Travel Sustainable property,Exceptional,10,1 review
Collection O Hotel Tourista Jaipur,Jaipur,Travel Sustainable property,Review score,1,3 reviews
Super OYO Townhouse OAK 1063 Hotel Arya Inn,Jaipur,"Featuring 3-star accommodation, Super OYO Townhouse OAK 1063 Hotel Arya Inn is set in Jaipur, 6.1 km from Govind Dev Ji Temple and 10 km from Jaipur Railway Station.",,,
FabExpress Rani Bagh,Jaipur,Travel Sustainable property,Superb,9,3 reviews
Hotel Apoorva DLX,"M.I. Road, Jaipur","Well set in Jaipur, Hotel Apoorva DLX provides air-conditioned rooms with free private parking and room service. Featuring a 24-hour front desk, this property also has a restaurant and a terrace.",,,
Hotel green lemon,"Khatipura, Jaipur","Set in Jaipur, within 4.7 km of Jaipur Railway Station and 9.1 km of Govind Dev Ji Temple, Hotel green lemon offers accommodation with a restaurant and as well as free private parking for guests who...",Very good,8.5,2 reviews
OYO Ekta My Stay,Jaipur,"Set 4.6 km from Govind Dev Ji Temple, OYO Ekta My Stay provides rooms with air conditioning in Jaipur. This 3-star hotel offers a shared kitchen and a shared lounge.",Review score,3.3,4 reviews
Hotel Karni Niwas,"Sansar Chandra Road, Jaipur","Located in Jaipur, within 1.7 km of Jaipur Railway Station and 3.1 km of City Palace, Hotel Karni Niwas provides accommodation with a garden and free WiFi throughout the property as well as free...",Very good,8,5 reviews
The Knights' Inn,Jaipur,"Situated in Jaipur, 12 km from Birla Mandir Temple, Jaipur, The Knights' Inn features accommodation with a terrace, free private parking and a restaurant.",Review score,1,1 review
Elegant 3BHK Farmhouse with Pool,Jaipur,"Boasting an outdoor swimming pool, a garden, and a terrace, Elegant 3BHK Farmhouse with Pool features accommodation in Jaipur with free WiFi and garden views.",,,
The Grand Anukampa Habitat,"Shyam Nagar, Jaipur","Set in Jaipur, 3.7 km from Jaipur Railway Station, 5.5 km from Govind Dev Ji Temple and 5.5 km from Birla Mandir Temple, Jaipur, The Grand Anukampa Habitat offers accommodation with a terrace and free...",,,
The Grand Anukampa by Eventers Hospitality,"Shyam Nagar, Jaipur","Set just 5.5 km from Govind Dev Ji Temple, The Grand Anukampa by Eventers Hospitality offers accommodation in Jaipur with access to a terrace, a bar, as well as room service.",Very good,8,4 reviews
Tulip Sanskar Prime,"Vaishali Nagar, Jaipur","Featuring 3-star accommodation, Tulip Sanskar Prime is set in Jaipur, 6.4 km from Jaipur Railway Station and 7.4 km from Govind Dev Ji Temple.",Good,7.6,65 reviews
Vienna - Luxury 3 Bedroom Villa by Jaipur Farms,Jaipur,Travel Sustainable property,,,
OYO Townhouse 051 Lal Kothi,Jaipur,Travel Sustainable property,Review score,3.3,55 reviews
"BluO 2BR Jaipur - Lift, Balcony, Parking, Terrace","Vaishali Nagar, Jaipur",Travel Sustainable property,Exceptional,10,1 review
Collection O Hotel Tourista Jaipur,Jaipur,Travel Sustainable property,Review score,1,3 reviews
Super OYO Townhouse OAK 1063 Hotel Arya Inn,Jaipur,"Featuring 3-star accommodation, Super OYO Townhouse OAK 1063 Hotel Arya Inn is set in Jaipur, 6.1 km from Govind Dev Ji Temple and 10 km from Jaipur Railway Station.",,,
FabExpress Rani Bagh,Jaipur,Travel Sustainable property,Superb,9,3 reviews
Jeenmount Heritage Boutique Hotel,Jaipur,Travel Sustainable property,Good,7.8,65 reviews
Hotel green lemon,"Khatipura, Jaipur","Set in Jaipur, within 4.7 km of Jaipur Railway Station and 9.1 km of Govind Dev Ji Temple, Hotel green lemon offers accommodation with a restaurant and as well as free private parking for guests who...",Very good,8.5,2 reviews
OYO Ekta My Stay,Jaipur,"Set 4.6 km from Govind Dev Ji Temple, OYO Ekta My Stay provides rooms with air conditioning in Jaipur. This 3-star hotel offers a shared kitchen and a shared lounge.",Review score,3.3,4 reviews
Hotel Karni Niwas,"Sansar Chandra Road, Jaipur","Located in Jaipur, within 1.7 km of Jaipur Railway Station and 3.1 km of City Palace, Hotel Karni Niwas provides accommodation with a garden and free WiFi throughout the property as well as free...",Very good,8,5 reviews
The Knights' Inn,Jaipur,"Situated in Jaipur, 12 km from Birla Mandir Temple, Jaipur, The Knights' Inn features accommodation with a terrace, free private parking and a restaurant.",Review score,1,1 review
Elegant 3BHK Farmhouse with Pool,Jaipur,"Boasting an outdoor swimming pool, a garden, and a terrace, Elegant 3BHK Farmhouse with Pool features accommodation in Jaipur with free WiFi and garden views.",,,
Hotel Vasudha Palace,Jaipur,Travel Sustainable property,Review score,6.8,12 reviews
Hotel Himalaya Tower,"Tonk Road, Jaipur","Featuring 2-star accommodation, Hotel Himalaya Tower is set in Jaipur, 12 km from Govind Dev Ji Temple and 15 km from Birla Mandir Temple, Jaipur.",Review score,4.7,3 reviews
OYO Hotel Heritage Haveli,"Adarsh Nagar, Jaipur","Located 2 km from Birla Mandir Temple, Jaipur, OYO Hotel Heritage Haveli offers 3-star accommodation in Jaipur and features a shared lounge.",Review score,2.9,9 reviews
SPOT ON Hotel Rj14,Jaipur,"Situated in Jaipur, 11 km from Govind Dev Ji Temple, SPOT ON Hotel Rj14 features rooms with air conditioning. With free WiFi, this 3-star hotel offers room service and a 24-hour front desk.",Exceptional,10,1 review
Las Vegas,Jaipur,"Set in Jaipur, within 3.5 km of Jaipur Railway Station and 3.7 km of Govind Dev Ji Temple, Las Vegas offers accommodation with a restaurant and free WiFi as well as free private parking for guests who...",,,
Indana Palace Jaipur,"Amer, Jaipur","Indana Palace Jaipur offers accommodation in Jaipur. The hotel has an outdoor pool and spa centre, and guests can enjoy a meal at the restaurant.",Good,7.5,42 reviews
Mehndiratta Guest House PG FOR GIRLS,Jaipur,"Featuring a terrace, Mehndiratta Guest House PG FOR GIRLS is located in Jaipur, within 3.1 km of Birla Mandir Temple, Jaipur and 4.5 km of Hawa Mahal - Palace of Winds.",,,
Rukiye Zara Jaipur,Jaipur,"Set in Jaipur, Rukiye Zara Jaipur offers accommodation with a terrace or a balcony, free WiFi and flat-screen TV, as well as a garden and a shared lounge.",Exceptional,9.7,3 reviews
FabHotel The Lotus,Jaipur,Travel Sustainable property,Very good,8.2,10 reviews
AAJ VILLA,Jaipur,"Located 4.1 km from Govind Dev Ji Temple, AAJ VILLA provides accommodation with a shared lounge, a terrace and a shared kitchen for your convenience.",,,
Hotel Mohit Palace,Jaipur,"Located in Jaipur, 5.2 km from Jaipur Railway Station, Hotel Mohit Palace provides accommodation with free WiFi and free private parking. This 2-star hotel offers a 24-hour front desk.",,,
OYO Townhouse 205 Jaipur Airport,"Malviya Nagar, Jaipur",OYO Townhouse 205 Jaipur Airport features air-conditioned rooms with TV in the Malviya Nagar district of Jaipur.,Review score,4.9,28 reviews
StayVista at Tranquil Villa,"C Scheme, Jaipur","StayVista at Tranquil Villa in Jaipur features accommodation with free WiFi, 3.1 km from Jantar Mantar, Jaipur, 3.1 km from Birla Mandir Temple, Jaipur and 3.3 km from Hawa Mahal - Palace of Winds.",Very good,8,1 review
"Heritage Haveli - A Stay Home, Jaipur",Jaipur,Travel Sustainable property,Review score,6.2,6 reviews
DionaRooms,"Shyam Nagar, Jaipur","Situated in Jaipur, DionaRooms features accommodation with a private pool. It has a seasonal outdoor swimming pool, a terrace, city views and free WiFi throughout the property.",,,
